,Department,Object Name,Title,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Classification,Link Resource,Artist_Surname,Artist_First_Name
9425,American Paintings and Sculpture,Painting,Mountain Scene,1830      ,1902      ,1880,1890,Oil on paper,Paintings,http://www.metmuseum.org/art/collection/search/10151,Bierstadt, Albert
9426,American Paintings and Sculpture,Painting,"Nevada Falls, Yosemite",1830      ,1902      ,1872,1873,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10152,Bierstadt, Albert
9427,American Paintings and Sculpture,Painting,"The Rocky Mountains, Lander's Peak",1830      ,1902      ,1863,1863,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10154,Bierstadt, Albert
9428,American Paintings and Sculpture,Painting,Sea Cove,1830      ,1902      ,1877,1890,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10155,Bierstadt, Albert
9429,American Paintings and Sculpture,Painting,Study of a Tree,1830      ,1902      ,1861,1864,Oil on paper mounted on board,Paintings,http://www.metmuseum.org/art/collection/search/10156,Bierstadt, Albert
9431,American Paintings and Sculpture,Painting,Sunrise on the Matterhorn,1830      ,1902      ,1876,1885,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10158,Bierstadt, Albert
9432,American Paintings and Sculpture,Painting,Fur Traders Descending the Missouri,1811      ,1879      ,1845,1845,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10159,Bingham, George Caleb
9443,American Paintings and Sculpture,Painting,Mary Sylvester,1715      ,1815      ,1754,1754,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10174,Blackburn, Joseph
9444,American Paintings and Sculpture,Painting,Mrs. David Chesebrough,1715      ,1815      ,1754,1754,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10175,Blackburn, Joseph
9445,American Paintings and Sculpture,Painting,Mrs. Samuel Cutts,1715      ,1815      ,1759,1763,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10176,Blackburn, Joseph
9446,American Paintings and Sculpture,Painting,Samuel Cutts,1715      ,1815      ,1759,1763,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10177,Blackburn, Joseph
9447,American Paintings and Sculpture,Painting,The Boulder and the Flume,1847      ,1919      ,1878,1878,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10178,Blakelock, Ralph Albert
9449,American Paintings and Sculpture,Painting,An Indian Encampment,1847      ,1919      ,1877,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10180,Blakelock, Ralph Albert
9450,American Paintings and Sculpture,Painting,Landscape,1847      ,1919      ,1885,1895,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10181,Blakelock, Ralph Albert
9451,American Paintings and Sculpture,Painting,The Pipe Dance,1847      ,1919      ,1877,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10182,Blakelock, Ralph Albert
9452,American Paintings and Sculpture,Painting,"A Waterfall, Moonlight",1847      ,1919      ,1885,1886,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10183,Blakelock, Ralph Albert
