,Artist_Surname,Artist_First_Name
13070,Beal,Gifford
13297,Lang,Annie Traquair
13336,Jennys,William
13340,Beal,Reynolds
13364,Green,James
13366,Cushing,Howard
13673,Kronberg,Louis
13828,Eakins,Susan Macdowell
15095,Spencer,Lilly Martin
15334,Ream,Carducius Plantagenet
15473,Kauffmann,Angelica
15624,Tanner,Henry Ossawa
16028,Kilburn,(or Kilbrunn) Lawrence
16044,Browere,Albertis del Orient
16078,Twibill,George W. Jr.
16348,Shattuck,Aaron Draper
16421,Rand,Ellen Emmet
16422,Wiggins,Guy C.
16427,Spencer,Robert
16428,Henri,Robert
16443,Lever,Hayley
16448,Glackens,William James
16450,Washburn,Miriam
16452,Eilshemius,Louis Michel
16455,Peterson,Jane
16464,Shinn,Everett
16465,Luks,George
16466,Sloan,John
16474,Hale,Lilian Westcott
16475,Johansen,John Christen
16479,Garber,Daniel
16492,Higgins,Eugene
16493,Browne,George Elmer
16494,de Groot,Adelaide Milton
16500,Price,Clayton S.
16502,Moses,Anna Mary Robertson
16508,Robinson,Boardman
16517,Emmet,Lydia Field
16531,Preston,James
16544,Kane,John
16834,Barnes,Demah Prince
16858,de Forest,Lockwood
16960,Wiley,Catherine
16988,Agostino Brunias,Unknown
17071,Russell,Charles M.
17226,Anderson,Karl
28071,British Painter,Unknown
30116,Shaw Stephen William,Unknown
30384,Unidentified Artist,Unknown
30717,Guan Liang,Unknown
36321,Sōami,Unknown
42547,Xu Gu,Unknown
42691,Wu Changshuo,Unknown
42867,Fan Zeng,Unknown
49428,Miki Suizan,Unknown
90595,Dalí,Salvador
100033,Giovanni da Udine (Giovanni dei Ricamatori),Unknown
103435,French Painter,Unknown
103455,Boucher,François
103625,Leen,Willem van
110310,Wootton James,Unknown
119747,Zucchi,Antonio
141045,Spanish Painter,Unknown
141858,Coecke van Aelst,Pieter
180740,Skolle,Hanns
180743,Shahn,Ben
180745,Evans,Walker
180830,Evans,Isabelle
181094,Rovner,Michal
186869,Clough,Charles
196087,Bryyinyuwuy possibly,Unknown
196964,Gill Lunda Hoyle,Unknown
201903,Kouakou,Ephrem
201999,Johnson,Malvin Gray
260247,Anonymous,Czech
267937,Reynolds,Joshua
268457,Tobey,Mark
268490,Callahan,Kenneth
307488,Amigoni,Jacopo
307491,Angelico,Fra (Guido di Pietro)
307493,Strozzi,Zanobi
307495,Antonello da Messina (Antonello di Giovanni d'Antonio),Unknown
307497,Antonello de Saliba,Unknown
307498,Antoniazzo Romano (Antonio di Benedetto Aquilio),Unknown
307500,Apt,Ulrich
307501,Arkhipov,Abram Efimovich
307505,Arthois,Jacques d'
307508,Bachiacca (Francesco d'Ubertino Verdi),Unknown
307510,Backer,Jacob
307512,Bailly,David
307513,Baixeras y Verdaguer,Dionisio
307514,Baldung,Hans (called Hans Baldung Grien)
307515,Banci,Ercole
307517,Bargue,Charles
307525,Bartolomeo,Fra (Bartolomeo di Paolo del Fattorino)
307527,Bartolomeo degli Erri,Unknown
307532,Bastien-Lepage,Jules
